City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Kavieng,PG,82.98,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
6,Victoria,HK,82.45,light rain,22.2855,114.1577,Mini Central
9,Rikitea,PF,69.21,broken clouds,-23.1203,-134.9692,People ThankYou
11,Nikolskoye,RU,72.91,light rain,59.7035,30.7861,Tourist House - Sablino
13,Hilo,US,87.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
17,Bien Hoa,VN,76.98,light rain,10.95,106.8167,OYO 991 Duy Anh Hotel
19,Hasaki,JP,79.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
21,Mana,GF,76.19,broken clouds,5.6592,-53.7767,LE SAMANA
22,Jamestown,US,73.04,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
23,Yellowknife,CA,68.52,smoke,62.456,-114.3525,The Explorer Hotel
24,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
28,San Patricio,US,89.55,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
34,La Asuncion,VE,69.53,few clouds,11.0333,-63.8628,Colinas de Matasiete
35,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
37,Puerto Ayora,EC,66.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
41,Port Alfred,ZA,74.41,clear sky,-33.5906,26.891,The Halyards Hotel
42,Arraial Do Cabo,BR,66.51,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
43,Ribeira Grande,PT,73.58,broken clouds,38.5167,-28.7,Quinta da Meia Eira
44,Muros,ES,69.1,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
45,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
47,Pemangkat,ID,77.83,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
50,Gushikawa,JP,89.19,scattered clouds,26.3544,127.8686,Kirari Guest House
51,Kapaa,US,86.32,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,San Matias,BO,81.12,few clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
55,Rongcheng,CN,80.78,scattered clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
56,Sanchor,IN,76.17,overcast clouds,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
57,Yangcun,CN,72.0,overcast clouds,39.3639,117.0603,Hanting Express Tianjin Wuqing Jingjin Road
58,Bethel,US,81.75,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
59,Safford,US,87.12,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
60,Marienburg,PL,71.11,few clouds,54.0359,19.0266,Hotel Centrum Malbork
61,Linhares,BR,65.86,few clouds,-19.3911,-40.0722,Hotel Conceição
62,Price,US,87.06,overcast clouds,39.5994,-110.8107,National 9 - Price River Inn
63,Atuona,PF,76.98,broken clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
64,Butaritari,KI,81.66,few clouds,3.0707,172.7902,Isles Sunset Lodge
