City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,2022-08-25 00:11:51,72.7868,-56.1549,40.86,82,64,10.4,broken clouds
1,Ushuaia,AR,2022-08-25 00:16:43,-54.8,-68.3,42.46,42,20,11.5,few clouds
2,Cabo San Lucas,MX,2022-08-25 00:12:27,22.8909,-109.9124,91.18,62,20,19.57,few clouds
3,Penzance,GB,2022-08-25 00:16:44,50.1186,-5.5371,59.68,72,100,14.61,overcast clouds
4,Krasnoselkup,RU,2022-08-25 00:16:45,65.7,82.4667,51.51,82,18,19.1,few clouds
5,Kavieng,PG,2022-08-25 00:16:45,-2.5744,150.7967,82.98,73,29,5.75,scattered clouds
6,Victoria,HK,2022-08-25 00:15:10,22.2855,114.1577,82.45,92,92,14.0,light rain
7,Busselton,AU,2022-08-25 00:10:40,-33.65,115.3333,53.13,66,98,6.04,overcast clouds
8,Paamiut,GL,2022-08-25 00:16:46,61.994,-49.6678,41.99,99,100,8.28,overcast clouds
9,Rikitea,PF,2022-08-25 00:16:47,-23.1203,-134.9692,69.21,66,80,16.89,broken clouds
10,Chokurdakh,RU,2022-08-25 00:15:59,70.6333,147.9167,44.89,66,96,12.35,overcast clouds
11,Nikolskoye,RU,2022-08-25 00:16:48,59.7035,30.7861,72.91,60,87,5.23,light rain
12,Bredasdorp,ZA,2022-08-25 00:10:47,-34.5322,20.0403,54.19,77,1,11.18,clear sky
13,Hilo,US,2022-08-25 00:15:56,19.7297,-155.09,87.28,72,75,11.5,broken clouds
14,Adrar,MR,2022-08-25 00:15:58,20.5022,-10.0711,95.49,32,4,12.95,clear sky
15,Codrington,AU,2022-08-25 00:10:22,-38.2667,141.9667,52.77,87,88,10.04,overcast clouds
16,Mataura,NZ,2022-08-25 00:15:13,-46.1927,168.8643,49.48,58,100,1.9,overcast clouds
17,Bien Hoa,VN,2022-08-25 00:13:41,10.95,106.8167,76.98,88,100,3.71,light rain
18,Ust-Tsilma,RU,2022-08-25 00:16:50,65.441,52.1498,43.0,91,44,4.14,scattered clouds
19,Hasaki,JP,2022-08-25 00:16:51,35.7333,140.8333,79.29,79,76,11.5,broken clouds
20,Luderitz,NA,2022-08-25 00:15:19,-26.6481,15.1594,58.96,83,63,4.34,broken clouds
21,Mana,GF,2022-08-25 00:16:52,5.6592,-53.7767,76.19,86,73,4.18,broken clouds
22,Jamestown,US,2022-08-25 00:07:42,42.097,-79.2353,73.04,72,0,4.61,clear sky
23,Yellowknife,CA,2022-08-25 00:16:53,62.456,-114.3525,68.52,56,75,6.91,smoke
24,Avarua,CK,2022-08-25 00:16:08,-21.2078,-159.775,78.85,61,40,12.66,scattered clouds
25,Saint George,US,2022-08-25 00:15:22,37.1041,-113.5841,93.79,21,0,18.41,clear sky
26,Santa Maria,BR,2022-08-25 00:11:52,-29.6842,-53.8069,62.44,91,39,3.94,scattered clouds
27,Klaksvik,FO,2022-08-25 00:15:34,62.2266,-6.589,50.92,94,72,26.66,broken clouds
28,San Patricio,US,2022-08-25 00:16:55,28.017,-97.5169,89.55,60,93,7.18,overcast clouds
29,Provideniya,RU,2022-08-25 00:16:55,64.3833,-173.3,44.71,100,100,8.99,light rain
30,Port Elizabeth,ZA,2022-08-25 00:16:01,-33.918,25.5701,61.09,88,0,13.8,clear sky
31,Nanortalik,GL,2022-08-25 00:15:35,60.1432,-45.2371,42.66,97,86,3.18,overcast clouds
32,Hermanus,ZA,2022-08-25 00:11:30,-34.4187,19.2345,58.8,74,13,27.13,few clouds
33,Iqaluit,CA,2022-08-25 00:16:07,63.7506,-68.5145,41.7,86,100,23.0,overcast clouds
34,La Asuncion,VE,2022-08-25 00:16:57,11.0333,-63.8628,69.53,100,14,8.05,few clouds
35,Souillac,MU,2022-08-25 00:16:58,-20.5167,57.5167,70.18,64,20,8.05,light rain
36,Constitucion,CL,2022-08-25 00:12:39,-35.3333,-72.4167,51.13,85,75,11.34,broken clouds
37,Puerto Ayora,EC,2022-08-25 00:15:55,-0.7393,-90.3518,66.54,89,85,5.01,overcast clouds
38,Sogamoso,CO,2022-08-25 00:16:59,5.7143,-72.9339,54.77,85,83,3.83,broken clouds
39,Joensuu,FI,2022-08-25 00:16:59,62.6012,29.7632,64.89,94,100,4.61,overcast clouds
40,Mocuba,MZ,2022-08-25 00:17:00,-16.8392,36.9856,62.04,95,28,1.88,scattered clouds
41,Port Alfred,ZA,2022-08-25 00:16:31,-33.5906,26.891,74.41,32,1,18.66,clear sky
42,Arraial Do Cabo,BR,2022-08-25 00:11:26,-22.9661,-42.0278,66.51,85,92,16.98,overcast clouds
43,Ribeira Grande,PT,2022-08-25 00:11:24,38.5167,-28.7,73.58,77,80,6.24,broken clouds
44,Muros,ES,2022-08-25 00:17:01,42.7762,-9.0603,69.1,85,55,8.52,broken clouds
45,Acapulco,MX,2022-08-25 00:16:09,16.8634,-99.8901,84.02,74,100,3.44,overcast clouds
46,New Norfolk,AU,2022-08-25 00:10:04,-42.7826,147.0587,56.91,83,88,1.01,overcast clouds
47,Pemangkat,ID,2022-08-25 00:17:02,1.1667,108.9667,77.83,87,100,6.35,overcast clouds
48,Hobart,AU,2022-08-25 00:15:03,-42.8794,147.3294,57.25,71,75,4.61,broken clouds
49,Havre-Saint-Pierre,CA,2022-08-25 00:17:02,50.2334,-63.5986,62.6,94,0,6.91,clear sky
50,Gushikawa,JP,2022-08-25 00:17:03,26.3544,127.8686,89.19,74,40,11.5,scattered clouds
51,Kapaa,US,2022-08-25 00:14:39,22.0752,-159.319,86.32,72,40,10.36,scattered clouds
52,Longyearbyen,SJ,2022-08-25 00:17:04,78.2186,15.6401,42.64,81,100,9.22,overcast clouds
53,San Matias,BO,2022-08-25 00:17:04,-16.3667,-58.4,81.12,28,22,4.5,few clouds
54,Newport,GB,2022-08-25 00:17:05,51.5877,-2.9984,64.81,88,100,4.54,overcast clouds
55,Rongcheng,CN,2022-08-25 00:17:05,30.634,117.8517,80.78,82,30,2.26,scattered clouds
56,Sanchor,IN,2022-08-25 00:17:06,24.7553,71.7722,76.17,87,92,10.6,overcast clouds
57,Yangcun,CN,2022-08-25 00:17:06,39.3639,117.0603,72.0,77,95,9.73,overcast clouds
58,Bethel,US,2022-08-25 00:08:53,41.3712,-73.414,81.75,67,100,0.0,overcast clouds
59,Safford,US,2022-08-25 00:17:07,32.834,-109.7076,87.12,51,0,12.66,clear sky
60,Marienburg,PL,2022-08-25 00:11:43,54.0359,19.0266,71.11,98,23,7.92,few clouds
61,Linhares,BR,2022-08-25 00:13:39,-19.3911,-40.0722,65.86,92,21,3.15,few clouds
62,Price,US,2022-08-25 00:17:08,39.5994,-110.8107,87.06,16,100,9.22,overcast clouds
63,Atuona,PF,2022-08-25 00:11:11,-9.8,-139.0333,76.98,70,75,10.8,broken clouds
64,Butaritari,KI,2022-08-25 00:10:26,3.0707,172.7902,81.66,67,16,4.65,few clouds
65,Ketchikan,US,2022-08-25 00:17:09,55.3422,-131.6461,72.07,60,0,10.36,clear sky
66,Bluff,NZ,2022-08-25 00:10:30,-46.6,168.3333,48.79,62,63,4.56,broken clouds
67,Sitka,US,2022-08-25 00:14:55,57.0531,-135.33,62.49,82,100,4.61,overcast clouds
68,Ilulissat,GL,2022-08-25 00:15:12,69.2167,-51.1,50.02,50,75,6.91,broken clouds
69,Albany,US,2022-08-25 00:09:19,42.6001,-73.9662,76.39,77,49,5.14,scattered clouds
70,Sinnamary,GF,2022-08-25 00:17:11,5.3833,-52.95,77.09,87,72,5.93,broken clouds
71,Batemans Bay,AU,2022-08-25 00:17:11,-35.7167,150.1833,57.09,49,84,6.85,broken clouds
72,Kalabo,ZM,2022-08-25 00:17:12,-14.97,22.6814,59.25,46,6,6.33,clear sky
73,Dois Vizinhos,BR,2022-08-25 00:17:13,-25.7336,-53.0572,58.62,82,4,2.33,clear sky
74,Kruisfontein,ZA,2022-08-25 00:11:37,-34.0033,24.7314,68.4,28,21,11.16,few clouds
75,Udachnyy,RU,2022-08-25 00:17:13,66.4167,112.4,46.45,70,81,6.78,broken clouds
